title,url,cat,notes
"lorberg pflanzenkatalog","http://www.lorberg.com/de/","EXKURS",""
"www.biorxiv.org","https://www.biorxiv.org/","EXKURS",""
"EDQM","https://www.edqm.eu/en/knowledge-database","EXKURS",""
"wikipedia on greek mythology","https://de.wikipedia.org/wiki/Liste_der_Gestalten_der_griechischen_Mythologie/A","EXKURS",""
"pflanzenfundgrube systematisch","http://pflanzenfundgrube.zum.de/cgi-bin/show.app","EXKURS",""
"HiSoN","https://hison.org/","LIT/ART/CON/CAL# ",""
"jacobin/ada","https://jacobin.de/","LIT/ART/CON/CAL# ",""
"translationista","https://translationista.com/2022/09/notes-from-the-magic-mountain-9-12-22.html","LIT/ART/CON/CAL# ",""
"onur solmaz","https://solmaz.io/frequencies-german-definite-articles","LIT/ART/CON/CAL# ",""
"fabrikzeitung","https://www.fabrikzeitung.ch/still-jenny-from-the-block/#","LIT/ART/CON/CAL# ",""
"tegel media","https://tegelmedia.net/#content","LIT/ART/CON/CAL# ",""
"serpentmagazine","https://serpentmagazine.github.io/","LIT/ART/CON/CAL# ",""
"lfb","https://lfbrecht.de/events/","LIT/ART/CON/CAL# ",""
"IKA wien","https://ika.akbild.ac.at/","LIT/ART/CON/CAL# ",""
"herrndorf","https://www.wolfgang-herrndorf.de/","LIT/ART/CON/CAL# ",""
"UNI AK wien","https://sprachkunst.uni-ak.ac.at/","LIT/ART/CON/CAL# ",""
"ERB","https://europeanreviewofbooks.com/","LIT/ART/CON/CAL# ",""
"exit shabbes","https://userblogs.fu-berlin.de/exitshabbes","LIT/ART/CON/CAL# ",""
"sanfte zerstörung","https://sanfte-zerstoerung.de/index.php","LIT/ART/CON/CAL# ",""
"queer poets in greek","https://queerpoets.com/maggie-smith/","LIT/ART/CON/CAL# ",""
"check your habitus","https://checkyourhabitus.com/","LIT/ART/CON/CAL# ",""
"alles dicht","https://allesdichtmachen.de/","LIT/ART/CON/CAL# ",""
"Ctrl+Alt+Dem","https://alternative-democracy-research.org/","LIT/ART/CON/CAL# ",""
"letters from an american","https://heathercoxrichardson.substack.com/","LIT/ART/CON/CAL# ",""
"kon paper","https://kon-paper.com/","LIT/ART/CON/CAL# ",""
"intrige","https://intrige.ch/","LIT/ART/CON/CAL# ",""
"nachtkritik","https://nachtkritik.de/index.php?option=com_content&view=featured&Itemid=100190","LIT/ART/CON/CAL# ",""
"sarah raich","https://www.sarah-raich.de/die-fehlenden-buecher","LIT/ART/CON/CAL# ",""
"kalender literaturszene BLN","https://www.literaturszene.berlin/kalender/","LIT/ART/CON/CAL# ",""
"diffrakt.space","http://diffrakt.space/en/en-plein-air-ethnographies-of-the-digital/","LIT/ART/CON/CAL# ",""
"ICI berlin - institute for cultural inquiry","https://www.ici-berlin.org/","LIT/ART/CON/CAL# ",""
"transphilosophen","http://transphilosophisch.de/","LIT/ART/CON/CAL# ",""
"wochendämmerung","https://wochendaemmerung.de/","LIT/ART/CON/CAL# ",""
"christina fjeldavlino","https://christinafjeldavlino.home.blog/","LIT/ART/CON/CAL# ",""
"sprachlog","http://www.sprachlog.de/2011/12/14/frauen-natuerlich-ausgenommen/","LIT/ART/CON/CAL# ",""
"favoriten festival","http://favoriten-festival.de/magazin?topic=51","LIT/ART/CON/CAL# ",""
"R.R.R.","http://rrr.haus-des-wandels.de/","LIT/ART/CON/CAL# ",""
